request_id,source,text,language,labels,template_group,translation_group,supplier_context_group,leakage_group,split,taxonomy_version,review_status,redaction_types,redaction_count,reviewer_a,reviewer_b
syn-missing_po_or_receipt-015,synthetic,<INVOICE_ID> is pending because the PO or receipt is missing. (case 15) Could you confirm the payment status for <INVOICE_ID>? (case 15),en,MISSING_PO_OR_RECEIPT|PAYMENT_STATUS,MISSING_PO_OR_RECEIPT-3,MISSING_PO_OR_RECEIPT-3,MISSING_PO_OR_RECEIPT-3,group-0018,test,invoiceops-v1,frozen_challenge,"[""invoice_id"", ""invoice_id""]",2,reviewer-a,reviewer-b
syn-other_review-013,synthetic,"<INVOICE_ID>情况不明确,需要人工复核。 (样本 13)",zh,OTHER_REVIEW,OTHER_REVIEW-1,OTHER_REVIEW-1,OTHER_REVIEW-1,group-0011,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-price_variance-008,synthetic,<PO_ID> lists 108 USD but <INVOICE_ID> charges 128 USD. (case 8) 请尽快处理。,mixed,PRICE_VARIANCE,PRICE_VARIANCE-2,PRICE_VARIANCE-2,PRICE_VARIANCE-2,group-0033,test,invoiceops-v1,frozen_challenge,"[""invoice_id"", ""purchase_order_id""]",2,reviewer-a,reviewer-b
syn-tax_currency_amount-009,synthetic,The VAT/currency total on <INVOICE_ID> is incorrect. (case 9),en,TAX_CURRENCY_AMOUNT,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,group-0003,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-duplicate_invoice-001,synthetic,"<INVOICE_ID>疑似重复提交,请核查。 (样本 1)",zh,DUPLICATE_INVOICE,DUPLICATE_INVOICE-1,DUPLICATE_INVOICE-1,DUPLICATE_INVOICE-1,group-0020,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-supplier_master_change-009,synthetic,Please change <SUPPLIER_ID> account details for future payments. (case 9),en,SUPPLIER_MASTER_CHANGE,SUPPLIER_MASTER_CHANGE-3,SUPPLIER_MASTER_CHANGE-3,SUPPLIER_MASTER_CHANGE-3,group-0042,test,invoiceops-v1,frozen_challenge,"[""supplier_id""]",1,reviewer-a,reviewer-b
syn-quantity_receipt_variance-016,synthetic,"我们只收货9件,<INVOICE_ID>却开了11件。 (样本 16)",zh,QUANTITY_RECEIPT_VARIANCE,QUANTITY_RECEIPT_VARIANCE-4,QUANTITY_RECEIPT_VARIANCE-4,QUANTITY_RECEIPT_VARIANCE-4,group-0046,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-tax_currency_amount-027,synthetic,The VAT/currency total on <INVOICE_ID> is incorrect. (case 27),en,TAX_CURRENCY_AMOUNT,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,group-0003,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-price_variance-020,synthetic,<PO_ID> lists 120 USD but <INVOICE_ID> charges 140 USD. (case 20) 请尽快处理。 请确认<INVOICE_ID>的付款状态。 (case 20),mixed,PRICE_VARIANCE|PAYMENT_STATUS,PRICE_VARIANCE-2,PRICE_VARIANCE-2,PRICE_VARIANCE-2,group-0033,test,invoiceops-v1,frozen_challenge,"[""invoice_id"", ""invoice_id"", ""purchase_order_id""]",3,reviewer-a,reviewer-b
syn-missing_po_or_receipt-003,synthetic,<INVOICE_ID> is pending because the PO or receipt is missing. (case 3),en,MISSING_PO_OR_RECEIPT,MISSING_PO_OR_RECEIPT-3,MISSING_PO_OR_RECEIPT-3,MISSING_PO_OR_RECEIPT-3,group-0018,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-missing_po_or_receipt-009,synthetic,<INVOICE_ID> is pending because the PO or receipt is missing. (case 9),en,MISSING_PO_OR_RECEIPT,MISSING_PO_OR_RECEIPT-3,MISSING_PO_OR_RECEIPT-3,MISSING_PO_OR_RECEIPT-3,group-0018,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-duplicate_invoice-007,synthetic,"<INVOICE_ID>疑似重复提交,请核查。 (样本 7)",zh,DUPLICATE_INVOICE,DUPLICATE_INVOICE-1,DUPLICATE_INVOICE-1,DUPLICATE_INVOICE-1,group-0020,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-supplier_master_change-027,synthetic,Please change <SUPPLIER_ID> account details for future payments. (case 27),en,SUPPLIER_MASTER_CHANGE,SUPPLIER_MASTER_CHANGE-3,SUPPLIER_MASTER_CHANGE-3,SUPPLIER_MASTER_CHANGE-3,group-0042,test,invoiceops-v1,frozen_challenge,"[""supplier_id""]",1,reviewer-a,reviewer-b
syn-tax_currency_amount-021,synthetic,The VAT/currency total on <INVOICE_ID> is incorrect. (case 21),en,TAX_CURRENCY_AMOUNT,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,group-0003,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-other_review-019,synthetic,"<INVOICE_ID>情况不明确,需要人工复核。 (样本 19)",zh,OTHER_REVIEW,OTHER_REVIEW-1,OTHER_REVIEW-1,OTHER_REVIEW-1,group-0011,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
syn-tax_currency_amount-003,synthetic,The VAT/currency total on <INVOICE_ID> is incorrect. (case 3),en,TAX_CURRENCY_AMOUNT,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,TAX_CURRENCY_AMOUNT-3,group-0003,test,invoiceops-v1,frozen_challenge,"[""invoice_id""]",1,reviewer-a,reviewer-b
